Basic,,Winglet_Up,,Winglet_Upper_lower,,Tip _extension,
X,Y,X,Y,X,Y,X,Y
0.21908763781428556,0.016278077325454395,0.21742064541347159,0.016480461699412523,0.21741144821401884,0.01654778519940677,0.2174482370118299,0.01627849119942977
0.25991630548497985,0.01741222997597231,0.26324109308715493,0.017074784728050296,0.26324109308715493,0.017074784728050296,0.2648529022912524,0.01727634135405768
0.34641826563811323,0.02021788165503604,0.3498350252348161,0.019207201407171505,0.3531322212386329,0.019071726659232256,0.35955186645666404,0.020079923663244528
0.4295218605934493,0.023899566581975784,0.44120000459859976,0.022415552464274624,0.43955140659669134,0.02248328983824425,0.4377648506029915,0.02356087971212765
0.4767517790832691,0.026176563236494477,0.4868089166848694,0.02455831599278019,0.48026970787395246,0.02442532448869318,0.4850223606911696,0.02563590586666359
0.5222871135739168,0.02885791476495407,0.529129829966775,0.02676923076923076,0.5307508363703252,0.026903463895243895,0.5256762815722613,0.028049205017072296
0.5661094696664866,0.032078268167343035,0.5746743616568756,0.029383258797696092,0.57465596725797,0.029517905797684596,0.5761114240713702,0.03086396192359426
0.6082556361587897,0.03556832944368439,0.6217387305565456,0.03287207845211132,0.6168205281491785,0.03287332007403745,0.6215547865674903,0.03421854845199636
0.6953301219778578,0.04618309324810595,0.7073485623627606,0.04220810963061747,0.7073485623627606,0.04220810963061747,0.716964234390628,0.04382139038662726
0.745887127369716,0.06010581377970407,0.7609912281710219,0.05754379591414414,0.7742903785797225,0.056194014922456105,0.7740512513939505,0.05794442592230665
