Expe,,Lifting_Line,
X,Y,X,Y
0.02936857562408246,0.013000000000000012,0,0.00940000000000002
1.997063142437593,0.011200000000000015,1.997063142437593,0.01100000000000001
4.1116005873715125,0.014000000000000012,3.9941262848751844,0.016000000000000014
6.1086637298091055,0.02099999999999999,5.991189427312776,0.024400000000000005
8.13509544787078,0.035,8.01762114537445,0.03580000000000001
10.10279001468429,0.04640000000000001,9.98531571218796,0.050600000000000006
12.099853157121881,0.065,11.982378854625551,0.06860000000000001
14.096916299559474,0.0844,14.008810572687228,0.0898
15.095447870778269,0.097,15.007342143906023,0.1014
16.005873715124817,0.104,,
18.091042584434657,0.15,,
