CFD_Wthout_Total,,CFD_without_Fore,,CFD_Without_Hinge,
X,Y,X,Y,X,Y
-5.9786476868327405,-0.13146853146853155,-5.9786476868327405,-0.05559440559440576,-6,-0.07762237762237767
-3.9928825622775808,-0.004195804195804342,-3.9928825622775808,-0.009090909090909038,-4.014234875444839,-0.016433566433566416
-2.0071174377224192,0.14755244755244745,-1.9857651245551597,0.08146853146853128,-1.9644128113879002,0.05699300699300691
0,0.31153846153846154,0,0.1793706293706292,0,0.13286713286713292
1.9857651245551597,0.4804195804195803,1.9857651245551597,0.2748251748251749,2.007117437722421,0.20874125874125848
3.992882562277579,0.6493006993006991,3.992882562277579,0.3653846153846154,4.01423487544484,0.28216783216783203
5.9786476868327405,0.8157342657342656,6,0.45594405594405585,6,0.35559440559440536
7.9857651245551615,0.9576923076923075,7.964412811387902,0.5293706293706293,8.007117437722417,0.42657342657342645
9.992882562277583,1.0653846153846152,10.014234875444842,0.5832167832167832,9.992882562277583,0.4877622377622377
11.978647686832737,1.097202797202797,12,0.5734265734265733,12,0.5244755244755244
