CFD_total,,CFD_Fore,,CFD_Hinge,,LLT_Hinge,,LLT_Wing,,LLT_total,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-6.01834862385321,-0.05745341614906829,-3.9816513761467878,0.012422360248447228,-5.990825688073394,-0.1273291925465838,-5.990825688073394,-0.05745341614906829,-6.01834862385321,-0.035093167701863326,-6.045871559633027,-0.09099378881987552
-4.036697247706421,0.004037267080745144,-2,0.13819875776397517,-4.009174311926605,0.001242236024844745,-3.9816513761467878,0.004037267080745144,-4.036697247706421,0.006832298136646209,-4.091743119266054,0.012422360248447228
-2,0.08509316770186337,-0.018348623853210455,0.31987577639751574,-2,0.21925465838509317,-2.0275229357798157,0.14937888198757765,-2.0275229357798157,0.09068322981366461,-2.0275229357798157,0.24161490683229814
-0.018348623853210455,0.168944099378882,1.9908256880733965,0.4512422360248447,0.00917431192660878,0.4903726708074536,-0.018348623853210455,0.3338509316770186,-0.04587155963302614,0.18012422360248448,-0.018348623853210455,0.5127329192546584
1.9633027522935809,0.2891304347826087,4,0.551863354037267,1.9908256880733965,0.7391304347826089,1.9908256880733965,0.46801242236024865,1.9908256880733965,0.3059006211180124,1.9357798165137634,0.7698757763975156
3.972477064220186,0.38975155279503104,5.981651376146793,0.6440993788819878,4,0.9403726708074535,3.972477064220186,0.5714285714285714,3.972477064220186,0.40652173913043477,3.9449541284403686,0.9739130434782609
5.981651376146793,0.46801242236024865,7.9908256880733965,0.7195652173913043,6.009174311926607,1.1080745341614908,6.009174311926607,0.6524844720496896,6.009174311926607,0.4791925465838509,5.981651376146793,1.136024844720497
7.963302752293579,0.5350931677018633,9.972477064220186,0.7866459627329193,7.963302752293579,1.2590062111801243,7.9908256880733965,0.7195652173913043,7.935779816513765,0.5546583850931677,7.908256880733948,1.2785714285714287
9.972477064220186,0.6021739130434782,11.981651376146793,0.8090062111801242,9.917431192660551,1.3931677018633541,10.000000000000004,0.7447204968944099,9.944954128440369,0.6245341614906832,9.972477064220186,1.3736024844720498
11.981651376146793,0.6692546583850931,13.963302752293583,0.7195652173913043,11.954128440366976,1.482608695652174,11.981651376146793,0.7698757763975156,11.981651376146793,0.6860248447204969,11.926605504587162,1.4574534161490684
13.9908256880734,0.7419254658385095,,,13.935779816513769,1.4574534161490684,13.963302752293583,0.5826086956521741,13.9908256880734,0.6916149068322983,13.963302752293583,1.275776397515528
