Baseline,,Upper_winglet,,Upper_lower_winglet,,Tip_extension,
X,Y,X,Y,X,Y,X,Y
0.2191993813106048,-0.6099579788758671,0.2260265971542451,-0.6525712925957379,0.21919072831207043,-0.5813868593400997,0.22055357558123817,-0.5813381862233431
0.2612875661819185,-0.07988340084474821,0.26266771944815503,-0.13697696679952465,0.26538476098795616,-0.10830850103024758,0.26946464979692497,-0.07959136214421214
0.3495697837291179,0.9232695354962246,0.35773821434558994,0.9521326937325263,0.3536756315336899,0.8662733157749578,0.35231278426452217,0.8662246426582012
0.43920186904768344,1.9693278242576007,0.44466623762215607,1.926665837420976,0.44332069635005716,1.8694749252326854,0.4446835436192249,1.869523598349442
0.484046033952203,2.399500830147047,0.4881259227611719,2.4282179690330823,0.4908602702980418,2.399744195730827,0.49086459679730904,2.3854586359629444
0.5302270871302872,2.91543586776055,0.5411385182821635,2.887254133158832,0.5343199554370576,2.901296327342936,0.5397756710129958,2.8872054600420762
0.5723152720016009,3.445510445791669,0.5832223766542101,3.4316142709578337,0.5859610506903472,3.3888549378876958,0.5886867452286826,3.388952284121207
0.6171421309090518,3.93282569075265,0.6266907147917603,3.9045952830341744,0.630787909597798,3.876170182848676,0.6307749300999964,3.919026862152326
0.6781760560714306,4.906434045222734,0.6890745077255054,4.921108989924665,0.7013531126458167,4.87869036867182,0.7013531126458167,4.87869036867182
0.7323870918894364,5.908370153644805,0.7501170858864188,5.8661462248589835,0.7664496206200956,5.9381581010994715,0.762374058310394,5.895155402445553
0.8096886542964844,7.168273780873628,0.8028960504469815,7.096602616450432,0.8152049408621632,6.9541850768224025,0.8287814955626344,7.126098525204562
