Min,,Max,,Steady,
X,Y,X,Y,X,Y
0.030416355023684893,0.02617801047120416,0.02944296800819024,0.07526178010471174,0.12260963202257619,0.01963350785340312
0.09323562331248642,0.029450261780104903,0.09227549770047264,0.0948952879581153,,
0.157065410546529,0.029450261780104903,0.15307372809879216,0.10471204188481664,,
0.2350769426629959,0.02617801047120416,0.23615642090633732,0.10798429319371738,,
0.312080608114918,0.029450261780104903,0.31315743407756325,0.10798429319371738,,
0.3911132682994106,0.0359947643979055,0.3921821374199673,0.10471204188481664,,
0.47114849058705577,0.029450261780104903,0.470188364975042,0.0948952879581153,,
0.5481521560389778,0.0327225130890052,0.550236848666168,0.10471204188481664,,
0.631234848846523,0.0359947643979055,0.6312905467411426,0.10471204188481664,,
0.7072200385111156,0.0327225130890052,0.7052573507959493,0.11125654450261768,,
0.7852289183468864,0.02617801047120416,0.7873321769389497,0.12107329842931946,,
0.8632431027440495,0.02617801047120416,0.8633200188842385,0.12107329842931946,,
0.9402441159152752,0.02617801047120416,0.9423473745073387,0.12107329842931946,,
