alpha_9,,alpha_10,,alpha_11,,alpha_12,
X,Y,X,Y,X,Y,X,Y
21.742466192099585,1.0029154518950438,21.822524367707196,1.0728862973760933,22.99671094328545,1.099125364431487,22.92332428231181,1.0349854227405249
57.26828161797572,1.0524781341107872,51.61417296568838,1.110787172011662,56.23753260702776,1.1516034985422743,42.3774609549606,1.0379008746355685
82.47326390510436,1.0816326530612246,82.55332208071196,1.1516034985422743,81.42583610757148,1.1661807580174928,60.730797713004776,1.0787172011661808
101.00673155826567,1.2798833819241981,101.08345397655629,1.3469387755102042,99.98598981926865,1.3877551020408163,81.34577793196388,1.096209912536443
117.08841758344394,1.3352769679300294,137.78345597801064,1.4227405247813412,121.78849964307395,1.4431486880466473,102.23429025091565,1.3527696793002915
142.29006411325562,1.361516034985423,240.77162738256467,1.434402332361516,142.41015137666702,1.466472303206997,140.1084788279483,1.4548104956268224
242.97656296909085,1.361516034985423,257.95077756503053,1.4489795918367347,240.83167101427037,1.4868804664723032,240.8416782862213,1.4956268221574345
259.0115483918314,1.3760932944606417,296.8490436383772,1.446064139941691,258.0141569540532,1.5043731778425657,259.18834352963154,1.5306122448979593
302.4864735040795,1.3731778425655978,319.75568913410405,1.466472303206997,292.33909974581525,1.5043731778425657,301.5291111541053,1.5364431486880465
320.8197957182218,1.3965014577259476,340.4840851018406,1.5830903790087465,319.8224042804437,1.5247813411078717,322.1507628876983,1.5597667638483967
342.72904977617065,1.545189504373178,362.480068850031,1.8075801749271139,342.84580128226503,1.6472303206997085,340.5741505493992,1.6618075801749272
363.5241608902469,1.7201166180758019,383.0083193787485,1.749271137026239,361.4159622659131,1.8775510204081634,362.6268421719783,1.935860058309038
384.0424041470135,1.6530612244897962,421.5429879045439,1.4285714285714286,381.94754855194776,1.8221574344023326,384.30259321773815,1.8804664723032072
420.2787358814071,1.3236151603498543,481.9101880699974,1.1895043731778427,421.6463963813703,1.5189504373177845,421.7397975862459,1.6005830903790088
479.5251215883542,1.1049562682215743,522.8199158054853,0.9446064139941692,479.7286027846901,1.282798833819242,479.7986536883468,1.3440233236151604
519.3273778946034,0.8921282798833818,541.056501057435,0.8833819241982508,520.6116444616421,1.0145772594752187,524.0841678286221,1.0495626822157436
539.838949636736,0.8192419825072887,560.2371056300912,0.6472303206997085,539.9757156867323,0.9387755102040816,542.3274245952058,0.9941690962099126
560.1637189691174,0.5830903790087465,657.134184173833,0.33527696793002915,559.1563202593884,0.7026239067055393,560.3505213788685,0.7463556851311954
689.0240241241969,0.20699708454810528,752.8704191712643,0.008746355685131046,680.010807853707,0.3294460641399415,685.7549819535527,0.34985422740524785
744.8512585812356,0,,,757.467092754068,0.026239067055393583,756.3696285967801,0.06705539358600587
