FW_Rigid,,FW_LINK_X_TRANS_Z_ROT_FREE,,RW_Rigid,,RW_LINK_X_TRANS_Z_ROT_FREE,
X,Y,X,Y,X,Y,X,Y
-0.17185773750404554,128.08590654956532,-0.36603466169692833,251.38155765603904,-0.2999698690979704,13.570623486480201,-0.21247865727772908,28.361548505172493
2.8282873372094324,93.44206497115249,2.627637848876785,200.8475711145086,1.8982468278855906,10.192614581124758,1.822807976877323,24.990235355823643
5.832003481793122,67.56519992411478,5.543639589773348,159.63184501556768,3.771496166679687,9.01974132062628,3.695164548203862,21.6256179624815
8.67323594728208,42.79090269950564,8.706045151714672,123.33749958151526,5.236527580934951,5.67186331730079,5.485832896249259,17.716412413931664
11.59905813032173,25.684362061846514,11.545045698534746,93.08384202479664,9.798346148266354,4.93644611590355,9.800801258802128,10.963742481224017
14.527335423897153,14.605117789507744,14.547422691917106,63.91936077849323,17.128190248747337,-0.29628720329429825,16.966152953386377,1.9021526855561888
17.213003158164916,7.919405416866653,17.145822406231517,42.99065942037072,22.097780356883792,0.04742827171378394,22.178352620830495,-2.1476637391333497
20.22720932049236,7.795533930743602,20.233681884632123,23.685678893861166,,,,
22.752848486201163,8.239685745851432,24.380140387684275,3.241303886886328,,,,
24.383934649421377,12.556216451472494,24.307826222812437,25.710029126538643,,,,
24.307826222812437,25.710029126538643,25.853876284748182,21.262931178787824,,,,
25.934002164961107,17.971967101518885,28.294702541039406,13.491390373734816,,,,
28.78237677019049,10.731622939660099,31.87670881273086,7.316787376267996,,,,
31.631867334754325,6.2309589438561375,34.563269314466176,2.8228191364706277,,,,
34.64451115401354,2.2715352252564003,37.00655068129317,1.0785746967380874,,,,
37.25072258366905,0.5205950295171533,39.938845428472575,-0.13782097780358527,,,,
40.02053365175373,0.4067671774040491,42.790567911705296,0.8408753585019895,,,,
43.44184177928556,-0.28177973194658534,,,,,,
