Weight;yb;y/b;;Vf_exp;Vf_exp (m/s);Vf_Asw;V_err;;fb1_exp;fb1_Asw;fb1_err;;fb2_exp;fb2_Asw;fb2_err;;ft_exp;ft_Asw;ft_err;;ff_exp;ff_Asw;ff_err
0;0;0;;333,8;101,74224;102;0,253346102857579;;6,25;6,6217;5,9472;;35,8;40,54;13,2402234636872;;44,6;48,8783;9,59260089686099;;22,1;24,476;10,7511312217194
;0;0;;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !
7A;8;0,166666666666667;;323,3;98,54184;98;-0,549857806592604;;6,2;6,5638;5,86774193548388;;36;36,5063;1,4063888888889;;27;26,5634;-1,61703703703703;;19,1;20,0131;4,78062827225131
7A;11;0,229166666666667;;324;98,7552;100;1,26049058682479;;6,1;6,5064;6,66229508196722;;35;34,5396;-1,31542857142857;;22,7;23,1753;2,09383259911895;;17,4;18,2292;4,76551724137931
7A;17;0,354166666666667;;382;116,4336;131,5;12,9399073806874;;5,9;6,1951;5,00169491525423;;NC;31,5465;#VALEUR !;;19,7;19,217;-2,4517766497462;;26,8;29.6037;#VALEUR !
7A;30;0,625;;526;160,3248;NC;#VALEUR !;;NC;NC;#VALEUR !;;30,68;;-100;;;;#DIV/0 !;;;;#DIV/0 !
7A;45;0,9375;;401;122,2248;2,12;-98,2654911278235;;31,4;18;-42,6751592356688;;25,67;;-100;;;;#DIV/0 !;;;;#DIV/0 !
7A;46;0,958333333333333;;368;112,1664;3,16;-97,1827570466735;;2.8590;31,75;#VALEUR !;;17,6; 7.2148;#VALEUR !;;21,8;;-100;;;;#DIV/0 !
7A;48;1;;300;91,44;0;-100;;29,8;NC;#VALEUR !;;21,4;;-100;;;;#DIV/0 !;;;;#DIV/0 !
;;;;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !
;0;0;;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !
7B;11;0,229166666666667;;325;99,06;0;-100;;6,12;0;-100;;25,57;0;-100;;33,6;0;-100;;18,54;0;-100
7B ;21;0,4375;;370;112,776;0;-100;;5,33;0;-100;;25;0;-100;;28;0;-100;;24,5;0;-100
;0;0;;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !
7C;11;0,229166666666667;;326;99,3648;100;0,63926058322464;;6,155;6,5054;5,69293257514216;;26,65;27,5807;3,4923076923077;;34,5;32,9097;-4,6095652173913;;19,6;20,294;3,54081632653061
7C;21;0,4375;;346;105,4608;0;-100;;5,39;5,8244;8,05936920222635;;22,5;22,2283;-1,20755555555555;;27;28,28;4,74074074074075;;16,5;0;-100
7C;28;0,583333333333333;;367;111,8616;0;-100;;4,63;5,0014;8,02159827213824;;29,4;30,4488;3,56734693877551;;23,1;21,7661;-5,77445887445887;;14;0;-100
;0;0;;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !
7D;11;0,229166666666667;;320;97,536;97;-0,5495406824147;;6,09;6,5049;6,8128078817734;;24,5;29,3403;19,7563265306122;;33,25;31,9277;-3,97684210526315;;20;21,0976;5,488
7D;21;0,4375;;318;96,9264;102,5;5,75034252793872;;5,42;5,8234;7,44280442804429;;23,15;24,2588;4,78963282937366;;26,1;26,7608;2,53180076628352;;17,6;18,2712;3,81363636363636
7D;27;0,5625;;331;100,8888;108,5;7,54414761598909;;4,79;5,1223;6,93736951983299;;27,4;28,6375;4,51642335766424;;25,65;23,5019;-8,37465886939571;;15,3;16,6167;8,60588235294118
7D;33;0,6875;;343;104,5464;115;9,99900522638751;;4,2;4,4068;4,92380952380951;;33,25;35,3514;6,31999999999999;;23,5;22,3559;-4,86851063829788;;13,2;14,9476;13,2393939393939
7D;39;0,8125;;365;111,252;125;12,3575306511344;;3,595;3,7714;4,90681502086231;;34,2;39,0437;14,162865497076;;22,45;21,3874;-4,73318485523385;;11,2;12,8202;14,4660714285714
7D;44;0,916666666666667;;0;0;134,5;#DIV/0 !;;3,21;3,3191;3,398753894081;;30,3;34,744;14,6666666666667;;21,6;20,7502;-3,93425925925927;;;10,65;#DIV/0 !
7D;48;1;;382;116,4336;140;20,2402055763972;;3;3,0052;0,173333333333329;;27,5;30,1684;9,70327272727272;;20,65;20,3389;-1,50653753026634;;9,27;8,9625;-3,31715210355986
;;;;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !
;;;;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !
7E;11;0,229166666666667;;312;95,0976;93;-2,20573389864728;;6,28;6,5041;3,56847133757962;;26,7;29,588;10,8164794007491;;37,4;31,6216;-15,4502673796791;;23,33;21,4021;-8,26360908701242
7E;21;0,4375;;285;86,868;86;-0,999217203112763;;5,57;5,8176;4,44524236983841;;29,4;25,6309;-12,8200680272109;;29,1;25,16;-13,5395189003436;;17,6;19,3081;9,70511363636363
7E;29;0,604166666666667;;298;90,8304;90;-0,914231358664057;;4,67;4,8695;4,27194860813705;;30;30,2296;0,765333333333338;;25,3;23,1455;-8,51581027667985;;14,52;16,7698;15,4944903581267
7E;35;0,729166666666667;;295,5;90,0684;96;6,58566156387812;;4,03;4,174;3,57320099255583;;35,62;37,6578;5,72094329028637;;29,95;21,8997;-26,8791318864775;;13;14,8563;14,2792307692308
7E;40;0,833333333333333;;314;95,7072;103,5;8,14233411906314;;3,57;3,6651;2,66386554621847;;34,59;38,5208;11,3639780283319;;22,745;21,1006;-7,22972081776215;;11,43;12,9517;13,3132108486439
7E;48;1;;338;103,0224;117;13,5675348273773;;3;2,9955;-0,150000000000006;;27,7;30,0206;8,37761732851986;;21,6;20,179;-6,57870370370372;;8,85;9,2518;4,54011299435028
;0;0;;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !;;;;#DIV/0 !
7F;11;0,229166666666667;;278;84,7344;87,5;3,26384561642026;;6,2;6,5059;4,93387096774194;;38,3;33.8823;#VALEUR !;;36,8;26,6566;-27,5635869565217;;19,1;21,6281;13,2361256544503
7F;16;0,333333333333333;;252;76,8096;75;-2,35595550556181;;6;6,2707;4,51166666666666;;35,3;31,0315;-12,0920679886685;;34,6;22,9442;-33,6872832369942;;17,15;19,9807;16,5055393586006
7F;24;0,5;;229;69,7992;62,5;-10,4574264461484;;5,25;5,8244;10,9409523809524;;31,7;28,28;-10,788643533123;;26,2;22,2283;-15,1591603053435;;14,3;18,3456;28,2909090909091
7F;32;0,666666666666667;;246;74,9808;68,5;-8,64327934617929;;4,38;4,5413;3,68264840182648;;34,2;34,9308;2,13684210526314;;21,5;21,5047;0,021860465116278;;12;16,4007;36,6725
7F;40;0,833333333333333;;262,5;80,01;78,5;-1,88726409198851;;3,675;3,6997;0,672108843537419;;34,1;38,585;13,1524926686217;;22;20,8091;-5,41318181818181;;9,86;13,6402;38,3387423935091
7F;48;1;;268,5;81,8388;91,5;11,8051584334081;;3,02;3,0312;0,370860927152321;;27,27;28,28;3,70370370370371;;20;20,0182;0,091000000000001;;7,5;9,7781;30,3746666666667
