ALPHA_1_B,,ALPHA_1_W,,ALPHA_5_B,,ALPHA_5_W,,ALPHA_10_B,,ALPHA_10_W,,ALPHA_15_B,,ALPHA_15_W,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.027272387641499307,-0.000412448163783774,-0.0003735943512537254,0.00041020659767621037,0.02708559046587089,0,-0.0003735943512537254,0.00041020659767621037,-0.027459184817126392,-0.000001494377404986924,-0.0005603915268803661,0.000821160384054942,0.02689879329024425,0.0004109537863787316,0.02689879329024425,0.0004109537863787316
6.026450480068743,0.0013972428736876985,6.0808084581761115,0.001809691037471417,6.049986924197706,0.00961706578996524,6.050173721373332,0.009206112003586508,6.048118952441438,0.013726603653752778,6.075764934434192,0.012905443269697725,6.0469981693876775,0.016192326372025223,6.019912578921808,0.01578062539694397
8.097844360593268,0.0043307057197294885,8.042739193783389,0.005562072701460752,8.036014495460828,0.020356409011095755,8.009489296521837,0.018711846676878197,7.05420854036687,0.02032951021780549,7.135278514588858,0.02197556692942798,7.053461351664362,0.021973325363320473,6.998729779205737,0.022382784772294217
10.032689505734671,0.007671386408637515,10.032689505734671,0.007671386408637515,10.018866514738296,0.038081966600664985,10.047259685433556,0.035616991071095006,8.084955355475024,0.03268651697986319,8.14080771098741,0.029811334852617,8.086636530055666,0.02898793290245444,8.059364142414166,0.028987185713751973
12.021145440280945,0.013068330406844242,12.02077184592969,0.01389023797960176,12.079052564725222,0.06567265662943172,12.077558187320209,0.06896028692046174,8.980087421078194,0.043395972652893466,9.063959352934585,0.03887772256883476,9.008293794597826,0.04134195090970222,9.009040983300332,0.03969813576418718
12.970635483991483,0.024190234243658237,12.971009078342735,0.02336832667090072,13.047222325998433,0.09569918182837073,12.993985130944822,0.09282101094631448,10.091717413232713,0.0578099899129525,10.066686591698733,0.052877797287704975,9.982441065491088,0.0582179549445212,10.093398587813352,0.05411140583554375
14.082265476146002,0.03860425150371727,13.999327530167747,0.041067732655882205,14.045466432547538,0.11956214742033097,14.017446856203534,0.12120521537714349,11.1205962565846,0.07427653453879776,11.06549108977472,0.07550790152052897,11.084170807337394,0.094412522882654,11.084544401688648,0.09359061530989649
15.05230320917548,0.06452123883886873,14.996637650838721,0.06698546717973625,15.073411290021294,0.13808346097807003,15.046699293906677,0.13684985243023123,12.096798296409759,0.0866320469234505,12.04187992677551,0.08745246011880298,12.024320992266599,0.1260821160384055,12.026375761198492,0.12156162438823925
16.06904023611163,0.10769977957933274,16.04008667388949,0.111397616468039,15.96648858669257,0.1533134083012665,16.025516494190608,0.1434520118055815,13.071879553181159,0.10145328202637577,13.018642358127547,0.09857511114431947,13.081779803489368,0.13967273134830202,13.103261478686445,0.15241304591474575
17.052714162961855,0.16361714050883552,16.973512160496135,0.15786154593342547,17.05813128105503,0.15169948070385175,17.025628572495986,0.16320543953375424,14.046960809952552,0.11627451712930098,14.025292337579856,0.10394515634923598,14.046960809952552,0.11627451712930098,13.994097209250196,0.11257443867448721
18.047969514700938,0.19405536668285575,18.050584675159712,0.18830201367355326,,,,,,,,,,,,
19.117383345163823,0.18134493966451226,19.037247356819964,0.177644114020996,,,,,,,,,,,,
