Exp,
X,Y
1.0190822268651551,27.980963598993192
2.016049233944401,27.984324161938403
3.014798357737017,27.48207275449051
3.998560728597203,26.946062964729364
5.025620049322201,26.983232827608216
6.03947473382814,26.481032337780707
7.008012736194111,25.978679095092055
8.019966496205788,26.015798040350518
8.975062246790916,25.041489374341257
9.990936663572008,23.9662619847349
10.957454933662827,24.036935641825092
11.949771464747185,21.073988394177064
12.98087025002249,19.965104457498214
13.966295929815152,18.957190162036845
14.955167035253664,16.97175939048214
16.967770843552216,15.967307493206745
17.9416551960583,13.948118339338787
